013500004245	0000147414	8	8	20140711	08:00	20140711	16:00	20140713	07:00	20140713	07:10
013500004245	0000147413	8	8	20140711	08:00	20140711	16:00	20140713	07:15	20140713	07:22
013500004245	0000147408	8	8	20140711	08:00	20140711	16:00	20140713	07:27	20140713	07:32
013500004245	0000147409	8	8	20140711	08:00	20140711	16:00	20140713	07:37	20140713	07:40
013500004245	0000147561	8	8	20140712	08:00	20140712	16:00	20140713	07:45	20140713	08:15
013500004245	0000147555	8	8	20140712	08:00	20140712	16:00	20140713	08:20	20140713	08:22
013500004245	0000147554	8	8	20140712	08:00	20140712	16:00	20140713	08:27	20140713	09:12
013500004245	0000147568	8	8	20140712	08:00	20140712	16:00	20140713	09:17	20140713	09:22
013500004245	0000147572	8	8	20140712	08:00	20140712	16:00	20140713	09:27	20140713	09:32
013500004245	0000147559	8	8	20140712	08:00	20140712	16:00	20140713	09:37	20140713	09:40
013500004245	0000147546	8	8	20140712	08:00	20140712	16:00	20140713	09:45	20140713	10:05
013500004245	0000147548	8	8	20140712	08:00	20140712	16:00	20140713	10:10	20140713	10:12
013500004245	0000147569	8	8	20140712	08:00	20140712	16:00	20140713	10:17	20140713	10:27
013500004245	0000147551	8	8	20140712	08:00	20140712	16:00	20140713	10:32	20140713	10:37
013500004245	0000147535	8	8	20140712	08:00	20140712	16:00	20140713	10:42	20140713	10:45
013500004245	0000147528	8	8	20140712	08:00	20140712	16:00	20140713	10:50	20140713	10:52
013500004245	0000147598	8	8	20140712	08:00	20140712	16:00	20140713	10:57	20140713	11:07
013500004245	0000147277	8	8	20140710	08:00	20140710	16:00	20140713	11:12	20140713	11:37
013500004245	0000147562	8	8	20140712	08:00	20140712	16:00	20140713	11:42	20140713	11:50
013500004245	0000147556	8	8	20140712	08:00	20140712	16:00	20140713	11:55	20140713	12:00
013500004245	0000147505	8	8	20140711	08:00	20140711	16:00	20140713	12:05	20140713	12:27
013500004245	0000147564	8	8	20140712	08:00	20140712	16:00	20140713	12:32	20140713	12:35
013500004245	0000147540	8	8	20140712	08:00	20140712	16:00	20140713	12:40	20140713	12:50
013500004245	0000147570	8	8	20140712	08:00	20140712	16:00	20140713	12:55	20140713	12:57
013500004245	0000147532	8	8	20140712	08:00	20140712	16:00	20140713	13:02	20140713	13:05
013500004245	0000147571	8	8	20140712	08:00	20140712	16:00	20140713	13:10	20140713	13:12
013500004245	0000145962	8	8	20140702	08:00	20140702	16:00	20140713	13:17	20140713	13:32
013500004245	0000146228	8	8	20140703	08:00	20140703	16:00	20140713	13:37	20140713	13:42
013500004245	0000146473	8	8	20140705	08:00	20140705	16:00	20140713	13:47	20140713	13:50
013500004245	0000146472	8	8	20140705	08:00	20140705	16:00	20140713	13:55	20140713	13:57
013500004246	0000147412	8	8	20140711	08:00	20140711	16:00	20140714	07:00	20140714	07:02
013500004246	0000147303	8	8	20140710	08:00	20140710	16:00	20140714	07:07	20140714	07:10
013500004246	0000147457	8	8	20140711	08:00	20140711	16:00	20140714	07:15	20140714	07:20
013500004246	0000147124	8	8	20140709	08:00	20140709	16:00	20140714	07:25	20140714	07:40
013500004246	0000146944	8	8	20140709	08:00	20140709	16:00	20140714	07:45	20140714	08:00
013500004246	0000147437	8	8	20140711	08:00	20140711	16:00	20140714	08:05	20140714	08:07
013500004246	0000147438	8	8	20140711	08:00	20140711	16:00	20140714	08:12	20140714	08:15
013500004246	0000146916	8	8	20140708	08:00	20140708	16:00	20140714	08:20	20140714	08:22
013500004246	0000147305	8	8	20140710	08:00	20140710	16:00	20140714	08:27	20140714	08:30
013500004246	0000147304	8	8	20140710	08:00	20140710	16:00	20140714	08:35	20140714	08:37
013500004246	0000147381	8	8	20140711	08:00	20140711	16:00	20140714	08:42	20140714	08:52
013500004246	0000147175	8	8	20140711	08:00	20140711	16:00	20140714	08:57	20140714	09:10
013500004246	0000146827	8	8	20140708	08:00	20140708	16:00	20140714	09:15	20140714	09:17
013500004246	0000147456	8	8	20140711	08:00	20140711	16:00	20140714	09:22	20140714	09:25
013500004246	0000147455	8	8	20140711	08:00	20140711	16:00	20140714	09:30	20140714	09:32
013500004246	0000147442	8	8	20140711	08:00	20140711	16:00	20140714	09:37	20140714	09:40
013500004246	0000147396	8	8	20140711	08:00	20140711	16:00	20140714	09:45	20140714	09:47
013500004246	0000147441	8	8	20140711	08:00	20140711	16:00	20140714	09:52	20140714	09:57
013500004246	0000147440	8	8	20140711	08:00	20140711	16:00	20140714	10:02	20140714	10:05
013500004246	0000147444	8	8	20140711	08:00	20140711	16:00	20140714	10:10	20140714	10:12
013500004246	0000147185	8	8	20140711	08:00	20140711	16:00	20140714	10:17	20140714	10:27
013500004246	0000147377	8	8	20140711	08:00	20140711	16:00	20140714	10:32	20140714	10:37
013500004246	0000147353	8	8	20140711	08:00	20140711	16:00	20140714	10:42	20140714	10:55
013500004246	0000147565	8	8	20140712	08:00	20140712	16:00	20140714	11:00	20140714	11:02
013500004246	0000147566	8	8	20140712	08:00	20140712	16:00	20140714	11:07	20140714	11:10
013500004246	0000147405	8	8	20140711	08:00	20140711	16:00	20140714	11:15	20140714	11:27
013500004246	0000147119	8	8	20140709	08:00	20140709	16:00	20140714	11:32	20140714	12:20
013500004246	0000147486	8	8	20140711	08:00	20140711	16:00	20140714	12:25	20140714	12:32
013500004246	0000147348	8	8	20140711	08:00	20140711	16:00	20140714	12:37	20140714	12:45
013500004246	0000147356	8	8	20140711	08:00	20140711	16:00	20140714	12:50	20140714	12:55
